number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
32,0.704904616,21:51.7,21:56.0,4,class-specific,0.019136682,64,128,128,NA,3,0.202296906,900,20,0.001727105,0.006045382,0.358368218,0.684181392,COMPLETE,3,3,2788,0.066130221,0.358368218
30,0.704904795,05:57.1,06:00.1,2,class-specific,0.019653028,128,256,128,64,4,0.110149916,1200,20,0.003296381,0.000269353,0.35836792,0.700221241,COMPLETE,4,2,4076,0.651362717,0.35836792
46,0.70490694,23:50.3,23:53.3,3,class-specific,0.012958887,64,256,256,NA,3,0.099991777,900,20,0.002788911,0.003012433,0.358366072,0.706858397,COMPLETE,5,2,3813,0.510151148,0.358366072
10,0.704907537,04:05.0,04:10.7,5,class-specific,0.012974099,128,256,64,128,4,0.143383117,1500,10,0.006036656,0.001203002,0.358365476,0.699668169,COMPLETE,5,4,2952,0.319809467,0.358365476
37,0.704907954,31:43.8,31:48.3,4,shared,0.012919214,64,64,NA,NA,2,0.056670772,300,40,0.000499117,0.002061295,0.358365178,0.696349561,COMPLETE,3,2,2674,0.38299492,0.358365178
49,0.704918981,55:48.3,55:50.4,2,class-specific,0.061251601,128,64,NA,NA,2,0.266488247,300,1,0.004741164,0.007440428,0.358355105,0.700774312,COMPLETE,2,2,3305,0.529627979,0.358355105
10,0.70492053,35:06.9,35:09.6,2,class-specific,0.022930759,256,128,128,NA,3,0.286724588,300,1,0.00992031,0.00991199,0.358353615,0.688053071,COMPLETE,5,2,3537,0.811204314,0.358353615
45,0.704922616,07:16.0,07:26.3,10,class-specific,0.011330126,64,128,128,NA,3,0.0145289,300,20,0.000354778,0.00087389,0.358351886,0.693030953,COMPLETE,5,2,424,0.4942182,0.358351886
44,0.704923451,22:12.0,22:15.2,3,class-specific,0.011616571,64,128,NA,NA,2,0.126196434,900,40,0.000463176,0.002110825,0.358351052,0.682522118,COMPLETE,5,2,3548,0.368488848,0.358351052
25,0.704930842,54:51.9,55:08.1,16,class-specific,0.00406609,64,256,128,NA,3,0.178473036,600,1,0.00700181,0.000288954,0.358344138,0.709623873,COMPLETE,4,2,1257,0.692664981,0.358344138
33,0.70493412,35:49.7,35:54.4,4,class-specific,0.010891045,128,256,NA,NA,2,0.365808603,600,40,0.000381373,0.00014299,0.358341396,0.696349561,COMPLETE,5,3,3630,0.112426199,0.358341396
49,0.704940379,40:03.3,40:05.7,2,class-specific,0.046064642,64,128,NA,NA,2,0.34630331,300,20,0.000443918,0.008409227,0.358335555,0.695243359,COMPLETE,3,2,3986,0.906247556,0.358335555
40,0.70494175,02:27.5,02:30.5,2,class-specific,0.020823957,64,64,256,NA,3,0.174977418,1500,10,0.000169755,0.000109089,0.358334303,0.695243359,COMPLETE,2,3,3726,0.250466317,0.358334303
12,0.704942226,36:31.4,36:35.1,3,class-specific,0.021148454,128,64,NA,NA,2,0.275737585,600,40,0.006540834,0.001698046,0.358333945,0.693030953,COMPLETE,4,2,4002,0.471822888,0.358333945
36,0.704943299,31:18.6,31:20.8,2,shared,0.031058564,128,128,NA,NA,2,0.347195676,1200,40,0.000970784,0.000120534,0.358333051,0.689159274,COMPLETE,1,4,3995,0.38020435,0.358333051
43,0.704950809,25:33.8,25:38.7,4,class-specific,0.014361333,256,128,NA,NA,2,0.273351169,300,40,0.003290101,0.004421187,0.358326256,0.690265477,COMPLETE,1,2,2255,0.252426803,0.358326256
25,0.704951286,34:24.9,34:28.3,3,class-specific,0.027013827,256,128,NA,NA,2,0.252597356,300,40,0.002341767,0.000248116,0.358325779,0.691924751,COMPLETE,4,2,3847,0.169145241,0.358325779
36,0.704952896,49:35.6,49:42.5,6,class-specific,0.023948273,64,64,64,NA,3,0.305250333,1500,1,0.000869185,0.000492006,0.35832423,0.685287595,COMPLETE,1,2,3957,0.309791476,0.35832423
25,0.704957366,22:23.0,22:26.7,3,class-specific,0.01973903,64,256,64,NA,3,0.139539943,300,20,0.00015595,0.005967276,0.358320177,0.698008835,COMPLETE,2,4,3963,0.574558079,0.358320177
28,0.704958975,42:59.8,43:14.3,14,shared,0.046681886,64,128,256,64,4,0.35948261,900,1,0.003571483,0.009949603,0.358318686,0.688053071,COMPLETE,4,2,3863,0,0.358318686
11,0.704959989,21:49.9,21:52.7,2,class-specific,0.015529921,64,64,NA,NA,2,0.19646059,900,40,0.000116857,0.00033491,0.358317792,0.684181392,COMPLETE,3,3,4093,0.607453525,0.358317792
16,0.704959989,31:15.9,31:18.9,2,class-specific,0.019288561,64,128,NA,NA,2,0.244241374,300,40,0.000239279,0.000207208,0.358317792,0.699115038,COMPLETE,4,4,2727,0.497657567,0.358317792
13,0.704961717,00:07.2,00:10.5,3,shared,0.01842919,64,64,NA,NA,2,0.269993557,600,20,0.003746558,0.004698358,0.358316183,0.696349561,COMPLETE,3,2,2365,0.489536077,0.358316183
