number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
36,0.569334567,08:06.0,08:20.7,14,class-specific,0.008535217,256,256,NA,NA,2,0.220510121,1500,20,0.001295555,0.003607863,0.481769323,0.75,COMPLETE,1,3,239,0.489229113,0.481769323
30,0.573117971,10:00.0,10:10.7,10,class-specific,0.010543587,256,64,128,NA,3,0.10092162,900,20,0.006035769,0.000254471,0.478325546,0.759402633,COMPLETE,1,4,91,0.453893632,0.478325546
38,0.576463223,47:33.6,47:48.6,14,class-specific,0.020568425,256,128,NA,NA,2,0.185087459,900,10,0.000423558,0.000280329,0.475280523,0.761061966,COMPLETE,1,4,763,0.444776446,0.475280523
48,0.578559935,22:21.1,22:42.0,20,class-specific,0.020360075,256,128,NA,NA,2,0.040637711,1500,10,0.000159204,0.000623385,0.473372042,0.754424751,COMPLETE,1,4,469,0.597499073,0.473372042
27,0.579211831,41:06.5,41:14.1,7,class-specific,0.007093876,128,256,256,NA,3,0.082213494,1500,20,0.002828961,0.00403087,0.472778678,0.754977882,COMPLETE,1,4,1515,0.487505198,0.472778678
34,0.583487988,19:24.7,19:45.5,20,class-specific,0.008406708,128,64,NA,NA,2,0.161255515,1200,10,0.008441237,0.001757589,0.468886316,0.752212405,COMPLETE,1,4,356,0.653214157,0.468886316
41,0.584281981,15:07.8,15:44.3,36,class-specific,0.00822259,128,256,NA,NA,2,0.092736389,1500,10,0.000100597,0.000118855,0.46816355,0.758849561,COMPLETE,1,4,442,0.517627478,0.46816355
33,0.584733725,46:24.6,46:56.3,31,class-specific,0.00977033,128,128,NA,NA,2,0.123530313,1500,10,0.000440886,0.001674475,0.467752397,0.756637156,COMPLETE,1,4,280,0.419650733,0.467752397
35,0.586188853,52:36.1,52:43.1,6,class-specific,0.011119483,256,64,NA,NA,2,0.168559343,600,40,0.000710669,0.00020143,0.466427922,0.756084085,COMPLETE,1,4,1445,0.643495321,0.466427922
27,0.586586595,01:45.0,01:49.2,4,class-specific,0.008826937,128,128,64,NA,3,0.146371495,1500,10,0.0002982,0.004452981,0.466065884,0.751659274,COMPLETE,1,3,36,0.521778107,0.466065884
16,0.588918924,39:29.6,39:41.6,11,class-specific,0.018792749,256,256,NA,NA,2,0.037892031,1200,20,0.000539059,0.005115993,0.463942945,0.754424751,COMPLETE,2,4,280,0.434434593,0.463942945
31,0.589360356,57:32.6,57:45.8,13,class-specific,0.008099811,256,64,NA,NA,2,0.176988239,1500,40,0.000820935,0.005835492,0.46354109,0.745022118,COMPLETE,1,4,188,0.48932898,0.46354109
22,0.589663148,08:41.2,08:53.6,12,class-specific,0.025509975,256,128,NA,NA,2,0.12060137,900,20,0.001049115,0.00069203,0.463265479,0.754424751,COMPLETE,2,4,91,0.514608204,0.463265479
22,0.590300441,13:43.1,13:47.5,4,class-specific,0.009535589,256,128,NA,NA,2,0.342454274,1200,20,0.000162724,0.003126992,0.462685406,0.738938034,COMPLETE,1,4,2416,0.602184534,0.462685406
41,0.590581298,56:56.5,57:12.1,15,class-specific,0.007097027,256,64,64,NA,3,0.3199656,1200,20,0.003516437,0.001242617,0.462429821,0.744469047,COMPLETE,1,4,671,0.556111097,0.462429821
36,0.591083229,24:28.2,24:54.5,26,class-specific,0.007669231,256,64,NA,NA,2,0.178468229,1200,10,0.001523599,0.002337327,0.461972892,0.745022118,COMPLETE,1,4,293,0.43125248,0.461972892
4,0.591414988,44:33.1,44:46.7,13,class-specific,0.008048864,256,256,NA,NA,2,0.338031551,1500,20,0.000201527,0.000148647,0.461670876,0.751659274,COMPLETE,1,4,237,0.505788445,0.461670876
33,0.591432273,39:50.2,40:26.5,36,class-specific,0.005459042,256,256,NA,NA,2,0.121147613,1500,10,0.004102788,0.000951577,0.4616552,0.752765477,COMPLETE,1,4,701,0.382656306,0.4616552
45,0.59160018,52:03.0,52:20.8,17,class-specific,0.017608696,128,128,NA,NA,2,0.104764927,1500,10,0.000512659,0.000454315,0.461502373,0.75,COMPLETE,1,4,216,0.604524016,0.461502373
29,0.591695189,24:53.7,25:26.1,32,shared,0.009599502,128,256,NA,NA,2,0.215242848,1500,10,0.000293411,0.004153171,0.461415827,0.751106203,COMPLETE,1,4,75,0.421198457,0.461415827
18,0.591788948,52:41.7,52:55.1,13,class-specific,0.008525547,256,128,NA,NA,2,0.265857942,1500,20,0.004349483,0.000522595,0.461330533,0.751659274,COMPLETE,1,4,140,0.586213589,0.461330533
42,0.592349827,47:11.6,47:19.5,7,class-specific,0.009416244,128,128,NA,NA,2,0.209479238,300,40,0.000367551,0.000744365,0.4608199,0.747234523,COMPLETE,1,4,1456,0.569399893,0.4608199
42,0.592422903,58:44.6,59:00.0,15,class-specific,0.013468331,256,64,NA,NA,2,0.028213313,1200,20,0.000623386,0.001094061,0.460753381,0.750553071,COMPLETE,1,4,641,0.478316247,0.460753381
23,0.592635274,33:55.5,34:01.8,6,class-specific,0.006392978,256,256,64,NA,3,0.204044692,900,40,0.000216183,0.000241312,0.460560024,0.750553071,COMPLETE,1,4,1871,0.550827265,0.460560024
46,0.592639625,19:42.4,19:54.5,12,class-specific,0.010204023,256,64,NA,NA,2,0.046473471,900,40,0.007601619,0.001529471,0.460556149,0.738938034,COMPLETE,1,4,681,0.579594851,0.460556149
49,0.592717111,36:48.6,37:03.7,15,class-specific,0.011925027,128,128,NA,NA,2,0.184718209,1500,20,0.000215527,0.001620169,0.460485697,0.75,COMPLETE,1,4,283,0.539064705,0.460485697
45,0.592831612,12:10.1,12:19.7,9,class-specific,0.01760532,256,256,NA,NA,2,0.091978204,600,20,0.000541369,0.004872558,0.460381329,0.753318608,COMPLETE,1,4,147,0.592227697,0.460381329
38,0.592848182,24:32.7,25:00.0,27,class-specific,0.008026394,128,128,NA,NA,2,0.228766972,1500,10,0.004188947,0.000953456,0.460366309,0.738938034,COMPLETE,1,3,702,0.575615108,0.460366309
41,0.593047202,37:49.3,38:02.1,12,class-specific,0.019185626,128,64,NA,NA,2,0.108062053,300,20,0.000498372,0.000124171,0.46018523,0.755530953,COMPLETE,1,4,716,0.511042178,0.46018523
1,0.593193531,34:15.8,34:21.2,5,shared,0.01061544,128,256,NA,NA,2,0.158698274,900,10,0.000138059,0.002365284,0.460051954,0.747787595,COMPLETE,1,4,1514,0.552523255,0.460051954
10,0.593286276,07:59.7,08:06.8,7,class-specific,0.009000262,128,128,256,NA,3,0.114306527,1500,10,0.00012958,0.000116702,0.459967554,0.740597367,COMPLETE,1,4,8,0.408266693,0.459967554
23,0.593409836,23:36.9,23:56.6,19,class-specific,0.013984947,64,128,64,NA,3,0.228416708,1500,10,0.00041291,0.0001701,0.459855139,0.739491165,COMPLETE,1,4,374,0.384608746,0.459855139
10,0.593414724,26:31.2,26:56.6,25,class-specific,0.010139283,256,64,64,64,4,0.010755026,1500,10,0.001064357,0.000562898,0.459850609,0.74170351,COMPLETE,1,4,206,0.352894068,0.459850609
27,0.593896449,10:41.3,10:55.6,14,class-specific,0.006363508,256,256,128,NA,3,0.300109247,900,40,0.000100477,0.009864348,0.459412098,0.748893797,COMPLETE,1,4,205,0.468686968,0.459412098
26,0.593963087,03:36.4,03:47.6,11,shared,0.011810663,256,128,NA,NA,2,0.067466042,900,40,0.000479689,0.001502071,0.45935148,0.742809713,COMPLETE,1,4,292,0.458908409,0.45935148
13,0.594118714,03:42.8,04:04.5,21,class-specific,0.013620884,256,128,256,128,4,0.085448993,1500,10,0.000123452,0.002267384,0.4592098,0.749446929,COMPLETE,1,4,558,0.491067678,0.4592098
43,0.594374597,13:08.4,13:34.6,26,class-specific,0.014461951,256,256,NA,NA,2,0.355309165,1200,10,0.001963208,0.000443289,0.458976865,0.756637156,COMPLETE,1,4,229,0.404365182,0.458976865
41,0.594519734,03:12.5,03:39.6,27,class-specific,0.00945193,128,256,NA,NA,2,0.312785469,1200,10,0.000640945,0.004597158,0.458844841,0.744469047,COMPLETE,1,4,246,0.410167366,0.458844841
26,0.594589412,03:15.6,03:34.4,18,class-specific,0.018567419,256,128,NA,NA,2,0.175910885,900,10,0.001161534,0.002813737,0.458781302,0.753318608,COMPLETE,1,4,364,0.564982772,0.458781302
27,0.594648838,35:16.6,35:22.9,6,class-specific,0.013771559,256,128,NA,NA,2,0.083434966,900,10,0.00360852,0.000494256,0.4587273,0.750553071,COMPLETE,1,4,1454,0.632212102,0.4587273
18,0.594696879,50:19.8,50:33.5,13,class-specific,0.00634498,256,256,NA,NA,2,0.059673314,1200,40,0.000305595,0.001147798,0.45868361,0.749446929,COMPLETE,2,4,641,0.544041395,0.45868361
23,0.594839573,49:42.1,49:47.9,5,class-specific,0.012792564,256,128,NA,NA,2,0.094576893,1500,10,0.001304441,0.000514167,0.458553672,0.759402633,COMPLETE,1,4,25,0.546111465,0.458553672
42,0.594893754,27:02.7,27:33.3,30,class-specific,0.010737556,256,256,NA,NA,2,0.398302257,1500,10,0.000431051,0.000663477,0.458504379,0.750553071,COMPLETE,1,4,305,0.57747227,0.458504379
31,0.594894886,34:34.8,34:51.3,16,class-specific,0.012536454,64,64,NA,NA,2,0.185969509,1500,20,0.001699741,0.000455104,0.458503366,0.742809713,COMPLETE,1,4,197,0.317351788,0.458503366
25,0.595027328,18:18.2,18:42.3,24,class-specific,0.019721134,256,64,NA,NA,2,0.116349465,1500,1,0.000106322,0.000655081,0.458382726,0.751106203,COMPLETE,1,4,947,0.500110865,0.458382726
49,0.595445573,15:02.5,15:09.1,6,class-specific,0.012826035,256,64,NA,NA,2,0.074187047,1500,20,0.004265922,0.006724278,0.458002031,0.753318608,COMPLETE,1,4,1108,0.584969997,0.458002031
22,0.595553041,46:30.0,46:35.2,5,class-specific,0.012330907,256,256,NA,NA,2,0.229915695,1200,20,0.001220199,0.000633454,0.45790422,0.751659274,COMPLETE,1,4,2345,0.535475552,0.45790422
43,0.595661342,44:13.6,44:40.2,26,class-specific,0.009924522,256,64,NA,NA,2,0.350775995,1500,10,0.00026251,0.002866671,0.457805693,0.748340726,COMPLETE,1,4,366,0.587952852,0.457805693
14,0.595880747,43:52.4,43:58.6,6,class-specific,0.010932921,128,64,NA,NA,2,0.219152057,1200,10,0.001503648,0.001973725,0.457605898,0.743362844,COMPLETE,1,4,1364,0.498538315,0.457605898
17,0.595955312,11:31.2,11:45.0,13,class-specific,0.009107664,256,128,NA,NA,2,0.150487541,1500,20,0.002097363,0.002123365,0.457538068,0.736725688,COMPLETE,1,4,189,0.488223314,0.457538068
34,0.596116304,17:29.3,17:41.7,12,class-specific,0.009859928,256,128,NA,NA,2,0.372081149,1500,40,0.000171256,0.002794898,0.4573915,0.738938034,COMPLETE,1,4,196,0.420018435,0.4573915
35,0.596189201,10:11.2,10:31.4,20,class-specific,0.017239545,128,64,NA,NA,2,0.134035193,1200,10,0.0002991,0.000165859,0.45732522,0.744469047,COMPLETE,1,3,91,0.687776804,0.45732522
25,0.596278012,32:54.9,33:23.3,28,class-specific,0.008127229,64,256,NA,NA,2,0.083823426,1200,10,0.000148905,0.007133986,0.457244337,0.745575249,COMPLETE,1,3,959,0.545163691,0.457244337
22,0.596331596,22:34.8,22:46.2,11,class-specific,0.013447512,256,128,NA,NA,2,0.147321279,1200,20,0.000989167,0.000160921,0.45719564,0.74170351,COMPLETE,1,4,380,0.582431853,0.45719564
5,0.596573532,07:21.1,07:27.1,6,class-specific,0.015676759,128,128,256,NA,3,0.186027414,1200,10,0.000622352,0.000208423,0.456975281,0.74170351,COMPLETE,2,4,8,0.263246238,0.456975281
18,0.596616566,55:54.4,55:58.8,4,class-specific,0.014686643,256,256,NA,NA,2,0.209079688,900,10,0.006053499,0.002597384,0.45693624,0.738938034,COMPLETE,1,4,1093,0.505037606,0.45693624
47,0.596690238,31:52.4,31:58.0,5,class-specific,0.03413518,128,64,NA,NA,2,0.175880824,1200,20,0.000337719,0.001291642,0.456869125,0.738938034,COMPLETE,1,4,1361,0.609395027,0.456869125
31,0.596764803,59:20.0,59:24.6,4,class-specific,0.011676268,128,256,64,NA,3,0.237256166,1500,10,0.002411181,0.000598036,0.456801176,0.735066354,COMPLETE,1,4,2387,0.543424785,0.456801176
23,0.596833766,23:13.7,23:34.8,21,class-specific,0.017221127,256,128,NA,NA,2,0.11297651,1500,10,0.000192543,0.005797105,0.456738472,0.753871679,COMPLETE,2,4,75,0.538920641,0.456738472
15,0.596970558,50:32.2,51:06.3,34,class-specific,0.011797173,256,128,128,NA,3,0.270087367,1500,1,0.009391747,0.000241145,0.456614017,0.743915915,COMPLETE,1,4,587,0.488023818,0.456614017
22,0.597420752,18:12.8,18:18.4,5,class-specific,0.010122086,64,128,NA,NA,2,0.116244305,1200,10,0.001641667,0.002837371,0.456204176,0.748893797,COMPLETE,1,4,1051,0.548962831,0.456204176
25,0.597456276,56:51.5,57:04.8,13,class-specific,0.009208108,256,256,NA,NA,2,0.034563284,1500,20,0.000106687,0.002475584,0.456171811,0.736725688,COMPLETE,2,4,246,0.472936988,0.456171811
31,0.597517014,12:30.5,12:32.5,2,class-specific,0.015442676,256,128,NA,NA,2,0.211095369,1200,10,0.008576499,0.008008218,0.456116557,0.746128321,COMPLETE,1,4,349,0.517750084,0.456116557
45,0.597689927,46:10.8,46:22.4,11,class-specific,0.008432161,256,64,NA,NA,2,0.071127172,1500,40,0.001074655,0.000100965,0.455959141,0.736725688,COMPLETE,1,4,753,0.534287333,0.455959141
22,0.597784519,26:09.8,26:21.9,12,class-specific,0.02258533,128,256,NA,NA,2,0.152744535,300,20,0.005984429,0.000201353,0.455873013,0.746681392,COMPLETE,1,3,682,0.533938527,0.455873013
48,0.597841561,38:18.6,38:26.7,8,class-specific,0.007994897,128,64,NA,NA,2,0.222554458,900,40,0.000107622,0.000798602,0.455821157,0.734513283,COMPLETE,1,4,1442,0.463206589,0.455821157
27,0.597853482,29:17.0,29:22.4,5,class-specific,0.007330527,256,256,NA,NA,2,0.235535162,1200,20,0.008802595,0.000175761,0.455810368,0.752212405,COMPLETE,1,4,1429,0.426576197,0.455810368
33,0.597972453,17:31.4,17:52.2,20,class-specific,0.033175034,128,64,NA,NA,2,0.180339694,1200,10,0.001047983,0.000109967,0.455702007,0.746681392,COMPLETE,1,3,766,0.668903828,0.455702007
35,0.598226607,10:20.4,10:37.5,17,class-specific,0.011245429,256,64,NA,NA,2,0.35166023,1500,20,0.001257874,0.004387311,0.455470681,0.748893797,COMPLETE,1,3,691,0.459871948,0.455470681
27,0.598502219,11:50.3,12:03.0,12,class-specific,0.01081709,128,256,NA,NA,2,0.176496914,300,40,0.002454799,0.001267274,0.455219805,0.748893797,COMPLETE,1,3,127,0.582333326,0.455219805
32,0.598574162,12:32.6,12:40.1,7,class-specific,0.012318277,64,64,NA,NA,2,0.150359186,1200,10,0.000104067,0.001173015,0.455154419,0.748893797,COMPLETE,1,4,1461,0.646218002,0.455154419
30,0.59870863,36:08.7,36:17.1,8,class-specific,0.007899477,256,256,NA,NA,2,0.212941015,1500,10,0.000157734,0.002505052,0.455031931,0.756637156,COMPLETE,1,4,2290,0.510053515,0.455031931
41,0.598746061,08:18.5,08:24.8,6,class-specific,0.010459661,256,64,NA,NA,2,0.150978942,1200,40,0.006613482,0.000424681,0.454997957,0.738384962,COMPLETE,1,4,1865,0.609117746,0.454997957
1,0.598771691,10:03.6,10:30.7,27,class-specific,0.009216862,256,256,NA,NA,2,0.100161119,1500,10,0.00034767,0.000836015,0.454974473,0.754424751,COMPLETE,1,4,362,0.516120553,0.454974473
17,0.598777235,49:42.4,49:47.3,4,class-specific,0.019175478,256,64,NA,NA,2,0.15733984,600,20,0.001143161,0.000101668,0.454969525,0.739491165,COMPLETE,1,4,5,0.49292019,0.454969525
28,0.598902702,45:11.2,45:36.8,25,class-specific,0.012169037,256,64,NA,NA,2,0.2586371,1200,10,0.000138744,0.00145152,0.454855204,0.752212405,COMPLETE,1,3,444,0.488675475,0.454855204
48,0.5991593,10:01.2,10:26.9,25,class-specific,0.009271181,256,256,NA,NA,2,0.228114925,1200,10,0.001876503,0.000678482,0.454621673,0.749446929,COMPLETE,1,4,392,0.594230294,0.454621673
44,0.59918654,35:34.5,35:49.3,14,class-specific,0.010731945,128,128,NA,NA,2,0.248568965,1500,20,0.000198708,0.000967038,0.454596877,0.726216793,COMPLETE,2,4,283,0.500409484,0.454596877
15,0.599214733,50:26.0,50:39.0,13,class-specific,0.007363316,256,64,NA,NA,2,0.230107541,900,40,0.000215764,0.00036222,0.454571187,0.743915915,COMPLETE,1,3,458,0.483133644,0.454571187
25,0.599399924,29:59.7,30:24.9,25,class-specific,0.011456317,128,64,128,NA,3,0.098590551,1200,10,0.001618305,0.008448286,0.454402745,0.744469047,COMPLETE,1,3,108,0.524350941,0.454402745
39,0.599550247,25:25.6,25:41.7,16,shared,0.022333083,128,128,NA,NA,2,0.337963769,1500,10,0.005371064,0.003267574,0.454265833,0.75,COMPLETE,1,4,95,0.50714159,0.454265833
21,0.599551201,37:12.0,37:24.7,12,class-specific,0.006686275,256,256,NA,NA,2,0.265094352,600,40,0.005832839,0.005227895,0.454264998,0.740597367,COMPLETE,2,4,701,0.531000376,0.454264998
12,0.599576116,48:43.7,48:49.4,5,class-specific,0.013913471,256,128,NA,NA,2,0.150658412,1500,10,0.002252858,0.009401099,0.454242289,0.751106203,COMPLETE,2,4,25,0.391526133,0.454242289
42,0.599584937,05:31.7,05:38.4,6,class-specific,0.013534036,256,64,NA,NA,2,0.106934515,1500,40,0.005403631,0.00749493,0.454234302,0.759402633,COMPLETE,1,4,2349,0.69339484,0.454234302
45,0.59961307,26:40.1,26:57.9,17,class-specific,0.008070682,256,64,128,NA,3,0.247005702,1200,10,0.00057437,0.000488611,0.454208612,0.754977882,COMPLETE,1,4,944,0.532279551,0.454208612
31,0.599704385,44:04.3,44:10.0,5,class-specific,0.014795713,128,128,NA,NA,2,0.282260235,1200,20,0.000454012,0.002267943,0.454125583,0.745022118,COMPLETE,1,4,1540,0.530935884,0.454125583
30,0.599723458,20:49.0,21:11.7,22,class-specific,0.011170743,256,64,128,128,4,0.104984933,1500,10,0.00028792,0.000240493,0.454108179,0.743915915,COMPLETE,2,4,944,0.470403701,0.454108179
42,0.599761069,23:36.2,23:56.4,20,class-specific,0.012278889,128,128,NA,NA,2,0.304036307,1500,10,0.000247609,0.002033576,0.454073846,0.737831831,COMPLETE,1,3,376,0.547996342,0.454073846
42,0.599790633,20:15.2,20:35.3,20,class-specific,0.009383002,256,128,128,NA,3,0.385470135,1500,10,0.000134828,0.004087285,0.454047084,0.740597367,COMPLETE,2,4,196,0.37258023,0.454047084
31,0.599820435,36:54.5,37:13.9,19,class-specific,0.010575602,256,128,128,NA,3,0.181314337,1200,10,0.009923918,0.000936706,0.454019904,0.744469047,COMPLETE,1,4,133,0.480679244,0.454019904
44,0.600039303,08:53.5,09:18.9,25,class-specific,0.014833201,64,256,64,NA,3,0.050475602,1500,10,0.005533175,0.003815419,0.453820646,0.743362844,COMPLETE,1,4,208,0.444361031,0.453820646
32,0.600060999,42:25.9,42:42.9,17,class-specific,0.012469183,256,256,NA,NA,2,0.293671056,1500,20,0.004237091,0.007630496,0.453800857,0.747234523,COMPLETE,1,3,147,0.489452153,0.453800857
49,0.600108266,15:20.7,15:47.0,26,class-specific,0.008422694,64,64,NA,NA,2,0.171619733,1500,10,0.000537998,0.000656176,0.453757882,0.738938034,COMPLETE,1,4,61,0.455545455,0.453757882
43,0.600117505,42:27.3,42:37.0,9,class-specific,0.006997641,256,64,NA,NA,2,0.216227893,1500,40,0.004357304,0.000709007,0.453749478,0.748340726,COMPLETE,1,4,792,0.441891879,0.453749478
12,0.600180864,04:38.7,04:53.2,14,class-specific,0.032878515,256,64,NA,NA,2,0.304337504,1200,10,0.003011784,0.000309986,0.4536919,0.746128321,COMPLETE,1,3,730,0.552695036,0.4536919
33,0.600445211,52:41.8,53:13.0,31,class-specific,0.006713961,128,256,NA,NA,2,0.167400458,1500,10,0.009823613,0.000936277,0.453451157,0.742809713,COMPLETE,1,4,466,0.584052622,0.453451157
49,0.600463808,00:04.1,00:22.7,18,class-specific,0.018505598,128,64,NA,NA,2,0.189654444,900,10,0.00017553,0.000324288,0.453434289,0.73340708,COMPLETE,1,3,163,0.492758334,0.453434289
23,0.60071075,12:11.4,12:14.2,2,class-specific,0.011155076,128,64,NA,NA,2,0.28223447,1200,10,0.003360471,0.000890871,0.4532094,0.752212405,COMPLETE,2,4,349,0.550905228,0.4532094
45,0.60072428,44:54.4,45:07.3,12,class-specific,0.008718452,64,64,NA,NA,2,0.226122521,600,40,0.001948954,0.000249483,0.453197122,0.745022118,COMPLETE,1,4,526,0.509505093,0.453197122
34,0.600786269,51:01.3,51:06.4,5,class-specific,0.015046697,256,64,NA,NA,2,0.180171851,1500,20,0.000347162,0.000385146,0.453140736,0.751659274,COMPLETE,2,4,5,0.3457748,0.453140736
26,0.600790262,38:07.6,38:23.6,15,class-specific,0.012864002,256,256,NA,NA,2,0.185802684,1500,20,0.006645105,0.000988372,0.453137159,0.745022118,COMPLETE,3,4,701,0.428293139,0.453137159
28,0.600940883,26:16.8,26:22.2,5,class-specific,0.015363236,256,64,NA,NA,2,0.169800878,1200,10,0.00221965,0.000219668,0.453000128,0.727876127,COMPLETE,1,4,1159,0.672072649,0.453000128
26,0.600981474,20:04.1,20:19.2,15,class-specific,0.016615442,256,64,NA,NA,2,0.190357396,1500,20,0.000376993,0.001294581,0.452963114,0.739491165,COMPLETE,1,4,92,0.544087589,0.452963114
19,0.600991368,26:29.7,26:35.1,5,class-specific,0.009194515,128,64,NA,NA,2,0.231160229,1200,20,0.000703649,0.000731139,0.452954113,0.753318608,COMPLETE,1,4,1512,0.441513091,0.452954113
36,0.601014376,02:27.4,02:38.4,11,class-specific,0.007530169,256,128,NA,NA,2,0.220431807,300,40,0.002009624,0.001997248,0.452933133,0.733960152,COMPLETE,1,4,352,0.545129716,0.452933133
48,0.601059496,53:53.7,53:58.4,4,class-specific,0.007886907,256,256,NA,NA,2,0.244125869,1200,20,0.000751189,0.000149698,0.452892005,0.738938034,COMPLETE,2,4,1445,0.533967793,0.452892005
25,0.601067185,24:28.5,24:45.8,17,class-specific,0.009216837,128,64,NA,NA,2,0.143807777,1500,20,0.003284875,0.000351358,0.452885091,0.732300878,COMPLETE,1,3,60,0.489617109,0.452885091
47,0.6010741,13:31.5,13:44.2,12,class-specific,0.009354932,256,128,64,NA,3,0.398402695,1500,20,0.003242789,0.009989049,0.452878714,0.731747806,COMPLETE,1,4,743,0.586994112,0.452878714
39,0.601076663,29:28.2,29:42.8,14,class-specific,0.008000971,256,128,NA,NA,2,0.238436258,1200,40,0.000157648,0.000247269,0.452876449,0.736725688,COMPLETE,1,4,251,0.541142344,0.452876449
0,0.601077259,44:10.9,44:16.2,5,class-specific,0.014106158,256,128,NA,NA,2,0.255389904,1500,20,0.000119917,0.000115429,0.452875972,0.746681392,COMPLETE,1,4,2461,0.531044602,0.452875972
21,0.601140141,13:12.7,13:38.9,26,class-specific,0.007418187,256,128,NA,NA,2,0.224916837,1500,10,0.000322717,0.000431244,0.452818692,0.738384962,COMPLETE,1,4,950,0.606319308,0.452818692
13,0.601147771,31:24.8,31:41.1,16,class-specific,0.020613628,256,64,NA,NA,2,0.169389671,900,10,0.000138882,0.001038121,0.452811658,0.737831831,COMPLETE,1,4,519,0.441675603,0.452811658
31,0.601154447,21:59.5,22:11.4,11,class-specific,0.014474113,256,64,NA,NA,2,0.230908387,300,20,0.001517776,0.005859549,0.452805698,0.746681392,COMPLETE,1,4,491,0.408344567,0.452805698
43,0.601192296,21:21.1,21:33.0,11,class-specific,0.014152396,256,64,NA,NA,2,0.214501494,600,20,0.001868952,0.005688543,0.452771127,0.741150439,COMPLETE,1,3,627,0.664256573,0.452771127
26,0.601223886,40:29.7,40:47.5,17,class-specific,0.007837108,256,128,NA,NA,2,0.08452954,1500,20,0.003943818,0.000582329,0.452742398,0.743915915,COMPLETE,1,4,697,0.558699012,0.452742398
29,0.601241946,16:30.9,16:36.8,5,class-specific,0.012236532,256,256,NA,NA,2,0.074285642,1500,10,0.002569097,0.000247657,0.452725947,0.751106203,COMPLETE,1,4,1371,0.531408608,0.452725947
47,0.601363838,58:14.0,58:18.7,4,class-specific,0.016238424,256,64,NA,NA,2,0.285935294,900,10,0.001640629,0.007868895,0.452615023,0.743362844,COMPLETE,1,4,1531,0.642067492,0.452615023
15,0.601381898,41:22.4,41:39.9,17,class-specific,0.009056053,64,64,256,NA,3,0.088660494,1500,20,0.004886753,0.000364162,0.452598572,0.740044236,COMPLETE,1,4,228,0.496192664,0.452598572
36,0.601390004,15:12.2,15:25.0,12,class-specific,0.008224989,256,256,NA,NA,2,0.206380357,300,40,0.005608173,0.001307612,0.4525913,0.747234523,COMPLETE,1,4,964,0.501752198,0.4525913
43,0.601625621,39:17.2,39:22.2,4,class-specific,0.018289307,256,128,NA,NA,2,0.047354092,600,40,0.001144924,0.000183848,0.452376842,0.745575249,COMPLETE,1,4,1781,0.545416057,0.452376842
5,0.601837277,58:41.4,58:53.0,11,shared,0.009990061,256,256,NA,NA,2,0.224963006,1200,40,0.001172499,0.001807032,0.4521842,0.737278759,COMPLETE,1,4,606,0.390787363,0.4521842
42,0.601939261,28:45.2,28:59.6,14,class-specific,0.014417922,256,64,128,NA,3,0.132983693,1500,20,0.000195062,0.000405037,0.452091217,0.746128321,COMPLETE,1,4,230,0.435821205,0.452091217
25,0.602042019,54:20.9,54:32.0,11,class-specific,0.008360856,128,256,NA,NA,2,0.317784951,1200,40,0.001660777,0.005545678,0.451997757,0.740044236,COMPLETE,1,4,112,0.350635171,0.451997757
24,0.602127552,29:11.4,29:45.1,33,class-specific,0.018477799,128,256,NA,NA,2,0.2567606,900,1,0.000628381,0.000407791,0.451919973,0.743915915,COMPLETE,1,4,270,0.6059407,0.451919973
31,0.602216184,01:55.0,02:12.6,17,class-specific,0.008780382,256,256,NA,NA,2,0.024392015,1500,20,0.000108482,0.000103457,0.451839149,0.738384962,COMPLETE,1,3,637,0.543757081,0.451839149
44,0.602236509,56:33.3,56:39.1,5,class-specific,0.022921901,128,256,64,NA,3,0.158661887,1200,10,0.000325971,0.000797525,0.451820612,0.738938034,COMPLETE,1,4,2101,0.4757213,0.451820612
46,0.602467179,06:51.3,07:13.6,22,class-specific,0.011684574,256,128,NA,NA,2,0.176260241,1500,10,0.000715705,0.001432821,0.451610744,0.738938034,COMPLETE,1,4,992,0.630104184,0.451610744
33,0.602568507,24:01.7,24:19.7,18,class-specific,0.0169237,256,256,64,NA,3,0.132813353,1500,10,0.000614734,0.003942931,0.451518536,0.74170351,COMPLETE,1,4,276,0.404838204,0.451518536
3,0.602626562,44:16.4,44:33.1,16,class-specific,0.009660897,64,128,NA,NA,2,0.027155835,1500,20,0.004494394,0.005849794,0.451465666,0.759955764,COMPLETE,2,4,237,0.384021759,0.451465666
29,0.602673888,01:58.3,02:02.6,4,class-specific,0.013742616,128,128,NA,NA,2,0.264615123,900,10,0.000138183,0.000110784,0.451422632,0.736172557,COMPLETE,1,4,1154,0.575208724,0.451422632
41,0.602736771,51:02.3,51:08.8,6,class-specific,0.009830219,256,128,NA,NA,2,0.206654116,1500,10,0.002824718,0.004315364,0.451365352,0.761061966,COMPLETE,3,4,25,0.439250618,0.451365352
