number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
56,0.7169671058654785,2025-10-26 12:00:31.471428,2025-10-26 12:00:34.027034,2,class-specific,0.033383219998151595,256,128,256.0,,3,0.38010422179388414,900,20,0.0007950976338924069,0.009831286629622188,0.34738850593566895,0.6863937973976135,COMPLETE
98,0.7170957922935486,2025-10-26 12:04:59.401506,2025-10-26 12:05:02.929953,3,class-specific,0.032097493665260296,128,128,64.0,,3,0.16177541706157186,1200,10,0.00022390206657621185,0.00034171788632682694,0.3472713828086853,0.6869469285011292,COMPLETE
45,0.7171141505241394,2025-10-26 11:59:24.936412,2025-10-26 11:59:32.961772,8,shared,0.017182974341443932,128,256,,,2,0.39854639005109904,900,1,0.00028741103511380325,0.0003114830936186234,0.3472546339035034,0.6825221180915833,COMPLETE
79,0.7171921133995056,2025-10-26 12:03:11.502895,2025-10-26 12:03:14.025991,2,shared,0.03629722518210049,256,128,,,2,0.18158910263748287,900,10,0.0002839281097359477,0.00044002888819463885,0.34718358516693115,0.678650438785553,COMPLETE
33,0.7173400521278381,2025-10-26 11:57:52.349890,2025-10-26 11:58:05.402152,13,shared,0.0206156708411051,128,128,,,2,0.3807681247265504,900,1,0.000163056130999632,0.0004095729976143933,0.3470489978790283,0.6880530714988708,COMPLETE
35,0.717532217502594,2025-10-26 11:58:10.812842,2025-10-26 11:58:19.049543,8,shared,0.03292406328026862,128,256,,,2,0.29007896311277626,1500,1,0.0004170276471492655,0.0006703210482283309,0.3468741178512573,0.6919247508049011,COMPLETE
166,0.7176951766014099,2025-10-26 12:11:21.938721,2025-10-26 12:11:32.506409,10,class-specific,0.03338849811389997,256,128,,,2,0.21661993697705126,600,1,0.0004719855854305734,0.005490604175938528,0.3467257618904114,0.6858407258987427,COMPLETE
44,0.7178203463554382,2025-10-26 11:59:22.397611,2025-10-26 11:59:24.911494,2,shared,0.03309962710315237,128,128,,,2,0.3370190929411532,900,20,0.00045005775832471153,0.0008161388354612937,0.34661179780960083,0.6869469285011292,COMPLETE
57,0.7185700535774231,2025-10-26 12:00:34.045049,2025-10-26 12:00:35.650429,1,shared,0.05348536438616427,256,64,128.0,,3,0.26506445684440477,1200,40,0.0006603314078981377,0.0007022825770730753,0.34592926502227783,0.6830752491950989,COMPLETE
86,0.7187157869338989,2025-10-26 12:03:53.571038,2025-10-26 12:04:01.975251,8,shared,0.03506427315898917,256,64,256.0,128.0,4,0.2400871227680017,600,1,0.00029403267289053567,0.0006633450145011257,0.34579670429229736,0.6847345232963562,COMPLETE
